"PASSAGE_COUNT","PASSENGER_COUNT","transaction_Month","transaction_Year","LINE","STATION_NAME","STATION_NUMBER","TOWN","LATITUDE","LONGITUDE"
298688,124762,3,2019,AKSARAY-HAVALİMANI,BAHCELIEVLER,BAH-BAH,Bahçelievler,"40.9956666666667","28.8635555555556"
443680,132054,3,2019,AKSARAY-HAVALİMANI,ESENLER,ESE-ESE,Esenler,"41.0375833333333","28.8886111111111"
463837,122518,3,2019,AKSARAY-HAVALİMANI,MENDERES,MDR-MDR,Esenler,"41.0425","28.8780555555556"
336957,135789,3,2019,AKSARAY-HAVALİMANI,MERTER,MER-MER,Güngören,"41.0073888888889","28.8963055555556"
442635,171295,3,2019,AKSARAY-HAVALİMANI,ULUBATLI,ULU-ULU,Fatih,"41.0242222222222","28.9298611111111"
295163,101433,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Bereç,BRC-BRC,Gaziosmanpaşa,"41.0559166666667","28.9089722222222"
155302,38623,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Cebeci,CBC-CBC,Sultangazi,"41.1124444444444","28.8575833333333"
68717,22573,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Cumhuriyet,CMH-CMH,Esenler,"41.0842777777778","28.8719444444444"
133909,46128,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Demirkapı,DMR-DMR,EyüpSultan,"41.0368888888889","28.9235833333333"
127626,52520,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Edirnekapı,EDK-EDK,EyüpSultan,"41.0311111111111","28.93425"
109349,42305,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Fetihkapı,FKP-FKP,Zeytinburnu,"41.0223055555556","28.9237777777778"
237322,72910,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Mescidi Selam,MSL-MSL,Sultangazi,"41.1164166666667","28.8510277777778"
209411,91045,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Metris,MRS-MRS,Gaziosmanpaşa,"41.0803055555556","28.8756666666667"
287565,83258,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Taşköprü,TSH-TSH,Bayrampaşa,"41.0723333333333","28.8883055555556"
99300,31054,3,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Topçular,TPC-TPC,EyüpSultan,"41.0416666666667","28.9196388888889"
343534,115479,3,2019,KABATAŞ-BAĞCILAR,Bağcılar,BGC-KBT,Bağcılar,"41.0334722222222","28.8607222222222"
816370,429649,3,2019,KABATAŞ-BAĞCILAR,Eminönü 2,EMI-KBT,Fatih,"41.0175277777778","28.9733611111111"
391650,153775,3,2019,KABATAŞ-BAĞCILAR,Fındıkzade,FND-KBT,Fatih,"41.0116666666667","28.9406388888889"
110994,28816,3,2019,KABATAŞ-BAĞCILAR,Güneştepe,GNT-KBT,Güngören,"41.0290277777778","28.8609166666667"
154901,70538,3,2019,KABATAŞ-BAĞCILAR,Haseki,HSK-KBT,Fatih,"41.0109722222222","28.9430277777778"
553291,218345,3,2019,KABATAŞ-BAĞCILAR,Sultanahmet,SAH-KBT,Fatih,"41.0081111111111","28.9756111111111"
305057,111745,3,2019,KABATAŞ-BAĞCILAR,Zeytinburnu 2,ZEY-KBT,Bakırköy,"41.0015833333333","28.8893888888889"
500239,188464,3,2019,KABATAŞ-BAĞCILAR,Çapa,CPA-KBT,Fatih,"41.01525","28.9333055555556"
379552,132151,3,2019,KABATAŞ-BAĞCILAR,Çemberlitaş,CTS-KBT,Fatih,"41.0084444444444","28.9710277777778"
88716,34496,3,2019,KADIKÖY-KARTAL METROSU,Acıbadem (Batı),ACM-AC1,Kadıköy,"41.0025277777778","29.0434166666667"
89256,39328,3,2019,KADIKÖY-KARTAL METROSU,Bostancı,BST-BT1,Kadıköy,"40.9645833333333","29.1046666666667"
177110,67574,3,2019,KADIKÖY-KARTAL METROSU,Bostancı (Doğu),BST-BT2,Kadıköy,"40.9645833333333","29.1046666666667"
261296,114971,3,2019,KADIKÖY-KARTAL METROSU,Esenkent Cevizli,EKT-EKT,Maltepe,"40.9208888888889","29.1666944444444"
168603,53697,3,2019,KADIKÖY-KARTAL METROSU,Gülsuyu,GLS-GLS,Maltepe,"40.9237777777778","29.1549166666667"
191072,87007,3,2019,KADIKÖY-KARTAL METROSU,Hastane (Batı),HST-HS2,Kartal,"40.9171666666667","29.1756944444444"
