route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7391,37,MALTEPE-GÜLSUYU-GÜLENSU,MALTEPE - GÜLSUYU - GÜLENSU,,9,,,
7331,37,PENDİK-MARMARA ÜNV. PENDİK EĞT. VE ARŞ HAS. 2,PENDİK - KURTKÖY - HARMANDERE - ORHANLI,,9,,,
7439,37,BAKIRKÖY-ADLİYE-METRO,BAKIRKÖY - METRO - TOPKAPI,,9,,,
7445,37,İNCİRLİ-BARBAROS MAH.,İNCİRLİ - EVREN MH. - BAĞCILAR,,9,,,
7111,37,BAKIRKÖY – ŞİRİNEVLER,BAKIRKÖY - BAĞCILAR - KEMALPAŞA MH. - ŞİRİNEVLER,,9,,,
7299,37,TOPKAPI-ATEŞTUĞLA-EVREN MH.,TOPKAPI - ÇİFTLİK - FATİH MAHALLESİ - İSTOÇ,,9,,,
7305,37,İSTOÇ-BAĞCILAR DEVLET HASTANESİ,TOPKAPI - ÇİFTLİK - FATİH MAHALLESİ - İSTOÇ,,9,,,
7488,37,BEZMİALEM VAKIF ÜNV. HASTANESİ - GÜLSUYU - GÜLENSU,MALTEPE - GÜLSUYU - GÜLENSU,,9,,,
7258,37,PENDİK-GÖZDAĞI,PENDİK - GÖZDAĞI,,9,,,
7234,37,PENDİK-AYDOS-HİLAL KONUTLARI,PENDİK - AYDOS - HİLAL KONUTLARI,,9,,,
7481,37,ŞİLE MERKEZ RİNG,ŞİLE MERKEZ RİNG - PLAJ,,9,,,
7156,37,ŞİŞLİ-ZİNCİRLİDERE,ŞİŞLİ - ÇAĞLAYAN - Y.KEMAL - GÜLTEPE - 4.LEVENT,,9,,,
7287,37,KARTAL-YAKACIK-U.MUMCU-BÜYÜK BAKKKALKÖY-FERHATPAŞA,KARTAL -YAKACIK -SAMANDIRA -PAŞAKÖY -FERHATPAŞA,,9,,,
7359,37,SULTANBEYLİ-YENİDOĞAN,SULTANBEYLİ - AYDOS - YENİDOGAN -  KURTKÖY,,9,,,
7315,37,KULELİ-SANAYİ-TGRT-1,KULELİ - TGRT - İSTOÇ - GİYİMKENT,,9,,,
7379,37,KADIKÖY-YAKACIK-UĞUR MUMCU,KADIKÖY - YAKACIK - UĞUR MUMCU MH.,,9,,,
7484,37,KARTAL-KARLIKTEPE MH.LÜTFİ KIRDAR-EĞT.VE ARAŞT.HAS.,KARTAL-KARLIKTEPE MH.LÜTFİ KIRDAR-EĞT.VE ARAŞT.HAS.,,9,,,
7132,37,TOPKAPI-ALİBEYKÖY-İMAR BLOKLARI,KARAYOLLARI-İ.H.L - ALİBEYKÖY - EYÜP - EDİRNEKAPI -TOPKAPI,,9,,,
7210,37,MERTER - ÇİNÇİN DERESİ - KARABAYIR - GİYİMKENT,MERTER - ÇİNÇİN DERESİ - KARABAYIR - GİYİMKENT,,9,,,
7277,37,ÜMRANİYE-İNKILAP MAH.-ERCAN,ÜMRANİYE - İNKILAP MH. - ERCAN,,9,,,
7167,37,ŞİŞHANE-PİYALEPAŞA BULVARI-ŞİŞLİ,ŞİŞHANE - ŞİŞLİ,,9,,,
7195,37,ŞİŞLİ-YEŞİLPINAR-VİALAND,ŞİŞLİ - ŞİŞHANE - KARAYOLLARI - İMAR BLOKLARI,,9,,,
7477,37,ŞİLE-KARAMANDERE-İMRENDERE-OVACIK,ŞİLE - KARAMANDERE-İMRENDERE-OVACIK,,9,,,
7114,37,BAKIRKÖY - YEŞİLYURT - YEŞİLKÖY,BAKIRKÖY - YEŞİLYURT - YEŞİLKÖY,,9,,,
7136,37,AVCILAR-BOĞAZKÖY,AVCILAR - ESENYURT,,9,,,
7146,37,ŞİRİNEVLER-KULELİ-ZEYNEBİYYE-DEPREM KON.-KAYAŞEHİR,KULELİ - DEPREM KONUTLARI - ONURKENT - KAYAŞEHİR,,9,,,
7461,37,2. GÜZERGAH,BÜYÜKÇEKMECE - KUMBURGAZ,,9,,,
7252,37,KADIKÖY-POLİS HAST.,KADIKÖY - POLİS HASTANESİ-EMNİYET MAHALLESİ,,9,,,
7340,37,EYÜP-İSTOÇ,YILDIZTABYA - PAZARİÇİ - GOP - TOPKAPI,,9,,,
7349,37,TOPKAPI-BAĞCILAR-OTOCENTER,TOPKAPI - ÇİFTLİK - FATİH MAHALLESİ - İSTOÇ,,9,,,
7240,37,ÜSKÜDAR-KOZYATAĞI-ATAŞEHİR,ÜSKÜDAR - ATAŞEHİR-FERHATPAŞA,,9,,,
7486,37,EYÜP - GAZİOSMANPAŞA - BAYRAMPAŞA,EYÜP - ÜÇŞEHİTLER-GAZİOSMANPAŞA - BAYRAMPAŞA,,9,,,
7189,37,YILDIZTABYA-GOP-TOPKAPI,YILDIZTABYA- PAZARİÇİ- GOP- TOPKAPI,,9,,,
7404,37,1. GÜZERGAH,BÜYÜKÇEKMECE - ESENYURT,,9,,,
7185,37,TOPKAPI-AYAZMA-BAĞCILAR 2,100.YIL MH - BAĞCILAR - TOPKAPI,,9,,,
7213,37,BAĞCILAR - HABİBLER,BAĞCILAR - HABİBLER,,9,,,
7199,37,GÜNEŞLİ-MAHMUTBEY-SULTANÇİFTLİĞİ,MAHMUTBEY - SULTANÇİFTLİĞİ,,9,,,
7242,37,ÜSKÜDAR- BATI ATAŞEHİR-ATAŞEHİR-FERHATPAŞA,ÜSKÜDAR - ATAŞEHİR-FERHATPAŞA,,9,,,
